customer_segment,age_group,income_bracket,price_sensitivity,brand_loyalty,purchase_frequency,avg_order_value,elasticity_coefficient
Young Professionals,25-34,50000-75000,-2.1,0.6,8.5,89.50,-2.15
Families,35-44,75000-100000,-1.8,0.7,12.3,125.80,-1.82
Seniors,55-64,40000-60000,-2.8,0.8,6.2,75.20,-2.85
Students,18-24,20000-35000,-3.2,0.4,4.8,45.60,-3.18
High Earners,35-54,100000+,-1.2,0.9,15.7,215.30,-1.23
Budget Conscious,25-54,30000-50000,-2.9,0.5,9.1,58.90,-2.94
Luxury Seekers,45-64,80000+,-1.5,0.8,11.2,185.40,-1.52
Tech Savvy,25-44,60000-90000,-2.0,0.6,10.8,95.70,-2.03
Suburban Families,35-54,70000-120000,-1.9,0.7,14.5,145.20,-1.91
Urban Singles,25-34,45000-70000,-2.3,0.5,7.9,78.30,-2.28
